Radnik,Pon,Uto,Sri,Cet,Pet,Sub,Ned
32068,I-GO,I-GO,242,246,216,494,670
32207,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
32208,204,204,204,O,204,498,O
32209,240,240,170,170,170,482,O
32211,299,880,216,300,O,467,655
32212,332,170,169,167,167,O,800
32213,235,234,237,235,169,486,O
32214,237,237,Oz,232,235,O,O
32215,177,248,115,116,20,489,Oz
32216,227,232,329,879,I-DK,O,O
3738824,136,136,136,136,136,O,652
3787850,179,179,O,242,I-DK,Oz,Oz
41026,189,188,185,185,192,480,O
41089,334,O,278,316,337,600,761
41091,11,O,42,54,877,414,886
41095,174,174,174,174,174,488,O
41102,138,138,138,138,138,O,O
41300,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
41306,117,117,117,117,117,O,O
41309,216,182,192,250,178,Oz,O
41311,197,191,164,164,201,Oz,716
41313,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
41316,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
41318,137,137,137,137,137,O,O
41319,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
41322,61,61,99,71,71,423,O
41324,185,201,190,190,242,538,O
41331,102,71,71,O,102,454,651
41339,340,345,345,345,O,586,755
41340,O,1,4,4,4,431,711
41343,265,333,281,267,O,402,672
41358,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og
41377,276,276,264,264,316,561,O
54198,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
54545,92,877,63,877,91,460,Oz
56179,242,O,194,194,215,508,O
68397,Oz,167,167,168,168,Oz,Oz
68724,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob
