brojSluzbe,linija,vr,nastupSluzbe,od,do,zavrsetakSluzbe
303,132,2,S.M.,18:05,00:47,GAR.
304,118,1,T.M.,17:39,22:00,GAR.
304,116,1,GAR.,22:55,01:35,GAR.
305,132,3,S.M.,14:30,21:10,S.M.
306,133,2,S.M.,18:35,00:40,GAR.
307,134,1,ČRN.,17:45,00:10,GAR.
308,134,3,ČRN.,18:15,00:35,GAR.
309,135,1,ČRN.,17:45,00:00,GAR.
310,176,2,ČRN.,15:20,17:20,ČRN.
310,136,1,ČRN.,17:55,23:44,GAR.
311,136,2,ČRN.,18:12,23:59,GAR.
312,136,3,ČRN.,17:36,00:14,GAR.
313,137,1,ČRN.,14:55,21:30,ČRN.
314,139,1,GAR.,17:45,00:10,GAR.
315,142,1,VRAP.,17:35,23:33,GAR.
316,143,1,VRAP.,17:10,23:10,GAR.
317,146,1,RELJ.,18:40,00:35,GAR.
318,146,2,RELJ.,17:53,23:55,GAR.
319,146,3,RELJ.,18:17,00:15,GAR.
320,148,1,RELJ.,14:00,18:15,RELJ.
320,148,1,RELJ.,18:45,22:15,GAR.
321,150,1,GAR.,16:00,22:52,GAR.
322,,,,,,
323,159,2,S.M.,18:10,01:00,GAR.
324,160,1,S.M.,18:45,00:45,GAR.
325,161,1,S.M.,18:30,00:45,GAR.
326,161,2,S.M.,18:00,01:00,GAR.
327,162,1,S.M.,17:50,00:50,GAR.
328,163,1,S.M.,17:40,23:35,GAR.
329,164,1,S.M.,15:00,22:00,GAR.
330,166,1,GL.K.,17:30,00:30,GAR.
331,168,1,S.M.,17:15,00:15,GAR.
332,168,2,S.M.,17:40,00:30,GAR.
333,172,1,ČRN.,17:25,00:25,GAR.
334,172,3,ČRN.,16:20,22:55,GAR.
335,172,5,ČRN.,16:30,23:30,GAR.
336,172,6,ČRN.,18:02,00:40,GAR.
337,172,8,ČRN.,15:34,22:20,GAR.
338,172,10,ČRN.,19:55,02:10,GAR.
339,174,1,ZAPR.,17:45,21:30,ZAPR.
339,174,1,ZAPR.,22:15,00:55,GAR.
340,176,2,ČRN.,17:20,23:20,ČRN.
340,176,2,ČRN.,23:50,01:10,GAR.
341,176,4,ČRN.,15:40,19:20,ČRN.
341,176,4,ČRN.,19:50,23:30,GAR.
342,176,1,ČRN.,16:10,21:45,GAR.
342,PRIČUVA,,GAR.,21:45,23:10,GAR.
343,176,5,GAR.,14:15,21:00,GAR.
344,176,6,ČRN.,17:15,20:10,ČRN.
344,176,6,ČRN.,20:40,00:40,GAR.
345,182,1,ZAPR.,17:50,23:15,GAR.
346,,,,,,
347,,,,,,
348,,,,,,
349,,,,,,
350,,,,,,
351,111,1,S.M.,21:50,01:40,GAR.
351,116,1,GAR.,01:45,04:20,GAR.
352,112,1,S.M.,19:40,00:05,GAR.
352,403,1,GAR.,00:50,03:55,GAR.
353,132,3,S.M.,21:10,00:00,GAR.
353,401,1,GAR.,02:40,03:55,GAR.
354,138,1,BR.T.,19:45,23:00,GAR.
354,402,1,GAR.,00:35,03:55,GAR.
355,140,1,MIHAL,21:50,23:40,GAR.
355,NL17,20,GAR.,00:10,05:05,GAR.
356,PRIČUVA,,GAR.,18:35,22:55,GAR.
356,116,1,GAR.,22:55,01:35,GAR.
357,,,,,,
358,,,,,,
359,,,,,,
360,,,,,,
361,132,3,S.M.,21:10,00:00,GAR.
361,401,1,GAR.,03:05,05:00,GAR.
362,112,1,S.M.,20:35,00:05,GAR.
362,402,1,GAR.,00:35,05:00,GAR.
363,138,1,BR.T.,19:45,23:00,GAR.
363,403,1,GAR.,00:50,05:00,GAR.
365,31,1,GAR.,23:50,05:30,GAR.
366,31,2,GAR.,23:50,05:30,GAR.
367,32,1,GAR.,23:30,06:00,GAR.
368,32,2,GAR.,23:10,06:00,GAR.
370,PRIČ,1,GAR.,21:50,23:50,GAR.
370,31,1,GAR.,23:50,04:40,GAR.
371,PRIČ,2,GAR.,21:45,23:50,GAR.
371,31,2,GAR.,23:50,04:45,GAR.
372,PRIČ,1,GAR.,21:55,23:30,GAR.
372,32,1,GAR.,23:30,04:55,GAR.
373,PRIČ,2,GAR.,22:15,23:10,GAR.
373,32,2,GAR.,23:10,05:15,GAR.
374,130,1,ČRN.,22:05,23:35,GAR.
374,31,1,GAR.,23:50,04:40,GAR.
375,137,1,ČRN.,21:30,23:30,GAR.
375,31,2,GAR.,23:50,04:45,GAR.
377,PRIČUVA,,GAR.,04:00,11:30,GAR.
378,PRIČUVA,,GAR.,04:00,07:30,GAR.
378,PRIČUVA,,GAR.,12:00,16:00,GAR.
379,PRIČUVA,,GAR.,10:30,18:00,GAR.
380,PRIČUVA,,GAR.,16:30,00:00,GAR.
381,PRIČUVA,,GAR.,22:00,05:30,GAR.
382,PRIČUVA,,GAR.,06:00,13:30,GAR.
383,SERVIS1X,,GAR.,20:00,04:00,GAR.
384,SERVIS1X,,GAR.,20:00,04:00,GAR.
391,330,1,GAR.,04:30,07:45,GAR.
391,330,1,GAR.,11:50,16:25,GAR.
392,330,2,GAR.,05:45,09:00,GAR.
392,330,2,GAR.,13:05,17:40,GAR.
393,330,3,GAR.,04:55,08:15,GAR.
393,330,3,GAR.,12:15,16:55,GAR.
394,330,4,GAR.,05:15,08:30,GAR.
394,330,4,GAR.,12:35,17:15,GAR.
395,310,1,V.G.,11:15,18:15,GAR.
396,311,2,V.G.,10:30,13:00,GL.K.
396,311,2,GL.K.,13:30,18:40,GAR.
397,,,,,,
398,,,,,,
399,,,,,,
400,,,,,,
402,101,1,GAR.,06:05,13:05,BR.T.
403,102,1,GAR.,04:45,11:10,BR.T.
404,102,2,GAR.,04:40,11:40,BR.T.
405,109,1,GAR.,04:17,11:02,ČRN.
406,109,2,GAR.,04:37,11:18,ČRN.
407,109,3,GAR.,04:30,10:10,ČRN.
408,109,4,GAR.,05:17,11:50,ČRN.
409,110,1,GAR.,04:00,10:50,S.M.
410,110,2,GAR.,05:15,12:05,S.M.
411,111,1,GAR.,05:05,12:05,S.M.
412,112,1,GAR.,04:15,10:05,S.M.
412,112,1,S.M.,10:35,11:30,S.M.
413,113,1,GAR.,04:45,11:45,LJUB.
414,115,1,GAR.,04:20,11:20,LJUB.
415,115,2,GAR.,04:35,11:35,LJUB.
416,115,3,GAR.,04:50,11:50,LJUB.
417,116,1,GAR.,04:10,10:40,LJUB.
418,116,2,GAR.,06:25,13:10,LJUB.
419,118,1,GAR.,04:10,10:50,T.M.
420,118,2,GAR.,04:24,11:00,T.M.
421,118,3,GAR.,04:37,11:10,T.M.
422,118,4,GAR.,05:22,12:00,T.M.
423,119,1,GAR.,04:00,10:45,ČRN.
424,120,1,GAR.,04:25,11:05,ČRN.
425,120,2,GAR.,05:00,11:30,ČRN.
426,121,1,GAR.,04:10,11:10,ČRN.
427,121,2,GAR.,04:30,08:10,ČRN.
427,PRIČUVA,,ČRN.,08:10,11:30,ČRN.
428,124,1,GAR.,04:30,10:45,ČRN.
429,124,2,GAR.,04:50,11:10,ČRN.
430,125,1,GAR.,04:20,10:55,ČRN.
431,125,2,GAR.,04:40,11:15,ČRN.
432,127,1,GAR.,04:00,11:00,ČRN.
433,127,2,GAR.,06:20,12:40,ČRN.
434,128,1,GAR.,04:40,11:40,ČRN.
435,128,2,GAR.,05:05,12:00,ČRN.
436,130,1,GAR.,04:25,11:15,ČRN.
437,131,1,GAR.,04:45,11:40,ČRN.
438,132,1,GAR.,04:05,11:05,S.M.
439,133,1,GAR.,04:15,11:15,S.M.
440,134,1,GAR.,04:10,11:10,ČRN.
441,134,2,GAR.,04:30,08:15,ČRN.
441,PRIČUVA,,ČRN.,08:15,11:30,ČRN.
442,135,1,GAR.,04:15,10:30,ČRN.
443,136,1,GAR.,04:20,11:00,ČRN.
444,136,2,GAR.,05:20,12:08,ČRN.
445,137,1,GAR.,04:15,11:15,ČRN.
446,138,1,GAR.,06:45,13:45,BR.T.
447,139,1,GAR.,07:15,11:45,RELJ.
447,150,1,TBJJ,12:45,16:15,TBJJ
448,140,1,GAR.,05:50,12:00,MIHAL
449,140,2,GAR.,08:30,12:30,MIHAL
449,140,2,MIHAL,13:00,17:00,MIHAL
450,142,1,VRAP.,11:30,17:30,VRAP.
451,146,1,GAR.,04:30,11:10,RELJ.
452,146,2,GAR.,04:50,11:37,RELJ.
453,148,1,GAR.,05:40,10:00,RELJ.
453,148,1,RELJ.,10:30,14:00,RELJ.
454,150,1,GAR.,06:30,12:45,TBJJ
455,,,,,,
456,160,1,GAR.,03:50,10:00,S.M.
457,161,1,GAR.,03:50,10:30,S.M.
458,161,2,GAR.,03:55,10:10,S.M.
459,162,1,GAR.,07:25,14:15,S.M.
460,163,1,GAR.,04:05,10:10,S.M.
460,163,1,S.M.,11:30,12:50,S.M.
461,164,1,GAR.,04:25,11:25,S.M.
462,166,1,GAR.,05:50,07:15,GL.K.
462,166,1,GL.K.,07:55,13:55,GL.K.
463,168,1,GAR.,04:10,10:40,S.M.
464,168,2,GAR.,04:45,11:45,S.M.
465,172,1,GAR.,04:00,10:18,ČRN.
466,172,2,GAR.,05:35,11:54,ČRN.
467,172,3,GAR.,04:30,10:58,ČRN.
468,172,4,GAR.,04:35,11:17,ČRN.
469,174,1,GAR.,03:50,10:30,ZAPR.
470,176,1,GAR.,04:05,10:30,ČRN.
471,176,2,GAR.,04:45,11:20,ČRN.
472,182,1,GAR.,05:35,12:15,ZAPR.
473,101,1,BR.T.,13:05,19:50,BR.T.
474,102,1,BR.T.,11:10,18:10,BR.T.
475,102,2,BR.T.,11:40,18:40,BR.T.
476,105,2,GAR.,08:15,15:10,GAR.
477,109,1,ČRN.,11:02,17:40,ČRN.
478,109,2,ČRN.,11:18,18:00,ČRN.
479,109,3,ČRN.,10:10,16:54,ČRN.
480,109,4,ČRN.,11:50,18:45,GAR.
481,109,5,GAR.,10:26,17:25,ČRN.
482,110,1,S.M.,10:50,17:20,S.M.
483,110,2,S.M.,12:05,19:05,S.M.
484,111,1,S.M.,12:05,18:30,GAR.
485,112,1,S.M.,11:30,18:00,S.M.
486,112,2,GAR.,11:40,18:10,GAR.
487,113,1,LJUB.,11:45,17:45,LJUB.
488,115,1,LJUB.,11:20,17:44,LJUB.
489,115,2,LJUB.,11:35,18:00,LJUB.
490,115,3,LJUB.,11:50,18:16,LJUB.
491,116,1,LJUB.,10:40,17:40,LJUB.
492,116,2,LJUB.,13:10,19:45,GAR.
493,118,1,T.M.,10:50,16:50,T.M.
494,118,2,T.M.,11:00,17:00,T.M.
495,118,3,T.M.,11:10,17:45,GAR.
496,118,4,T.M.,12:00,18:40,T.M.
497,119,1,ČRN.,10:45,17:45,ČRN.
498,120,1,ČRN.,11:05,17:07,ČRN.
499,120,2,ČRN.,11:30,18:10,ČRN.
500,120,3,GAR.,12:00,19:00,GAR.
501,121,1,ČRN.,11:10,17:00,ČRN.
502,121,2,ČRN.,08:10,14:50,ČRN.
503,121,3,GAR.,07:45,14:15,ČRN.
P,,,,,,
504,124,1,ČRN.,10:45,17:38,GAR.
505,124,2,ČRN.,11:10,17:10,ČRN.
506,125,1,ČRN.,10:55,17:40,ČRN.
507,125,2,ČRN.,11:15,18:00,ČRN.
508,127,1,ČRN.,11:00,17:40,ČRN.
